"id","TijdstipEpoch","Desc","Image","Latitude","Longitude","Tijdstip","Title"
"1682953011043","1682953011043","""Tussenstop langs de campingspot voor de eerste echte opzet, 1h met de bedden opgemaakt en Kookvuur op zijn plaats. Niet slecht zou ik zeggen. Enjoy our view :) ""","First_real_camping.jpg","51.1150435","'-1.5029471","1682953011043","First real camping"
"1684950262283","1684950262283","""  De laatste camping! Goeie douches en faciliteiten hier. We hebben zicht op de sheds, maar na een laatste geslaagde setup, zijn we toch niet treurig om de laatste avond op een camping in een tent te spenderen. Veel spullen zijn het wel stilletjes aan aan het begeven. Dus maar goed dat het einde in zicht. ""","White_Cottage_Holiday_Park.jpg","53.8906571","'-0.177479","1684950262283","White Cottage Holiday Park"
"1683801701239","1683801701239","""De Blue lake lagoon hebben we niet gedaan wegens te stijl om er te geraken. Dus heeft onze camping host naar deze twee mooie meren gestuurd, niet ver van onze camping. Moeilijke wegen leiden naar mooie plekken. ""","Cregennan_Lake.jpg","52.7071468","'-3.984505","1683801701239","Cregennan Lake"
"1684420173829","1684420173829",""" Na de watervallen, die straks nog komen, komen we in een dorpje aan waar de watervallen los doorstromen. We begeven ons naar Wensleydale Creameries; een bejaardencafeteria met een leuke gift-/and cheese shop verstopt achterin met goeie blauwe kaas. Ook het dorpje zelf is een leuke om een door te slenteren. ""","Hawes/Wensleydale_Creameries_.jpg","54.3037193","'-2.1945352","1684420173829","""Hawes/Wensleydale Creameries """
"1683391162145","1683391162145","""Het heet eigenlijk Wistmans wood, maar we noemen het mistmans wood en dan heeft het zijn naam niet gestolen. Een bosje, gelegen een halfuur wandelen van Two Bridges, gehuld in mist met een spookachtige look.""","Mistmans_wood.jpg","50.581699","'-3.960055","1683391162145","Mistmans wood"
"1683287507080","1683287507080",""" Dont worry, bee happy. We zitten bij een honingbedrijf. Daar doen ze tastings, tonen ze hoe ze honing maken, maar allemaal gereserveerd en betaald, wat we niet gedaan hadden. Dan maar een wandelingetje in en rond het domein. En een snackie en shoppy in de winkel. ""","Quince_Honey_Farm.jpg","51.0342369","'-3.8514117","1683287507080","Quince Honey Farm"
"1683214545412","1683214545412",""" Na een bochtige, glijdende maar mooie met een natte Synne (van de regen, niet van het zweet) zijn we in een lokaal, pittoresk pubje. Nog een een beetje aan het druppen, maar we zitten droog en een beetje warm.""","The_Royal_Oak_pub.jpg","50.4864175","'-4.0584186","1683214545412","The Royal Oak pub"
"1684431587878","1684431587878",""" Langst stijle bergwanden begaven we ons naar de laatste cluster. We lijken ons in de heuvels van Edoras en Helms Deep te bevinden (Lord of the rings referentie). We zitten met onze camping naast een meer in een door bergen omringd landschap. ""","Sykeside_Camping.jpg","54.4987778","'-2.923935","1684431587878","Sykeside Camping"
"1682833736429","1682833736429",""" Na een hoop controleposten te zijn gepasseerd, is het zover. We staan klaar voor de ferries. Quinn is al wat ongeduldig aan het worden.""","Klaar_voor_onboarding.jpg","50.9767717","1.8743095","1682833736429","Klaar voor onboarding"
"1682577725312","1682577725313",""" Nog een laatste keer aan het werk op kantoor voor de grote vakantie :)""","Laatste_keer_kantoor_.jpg","51.2127959","4.4226748","1682577725313","""Laatste keer kantoor """
